ROUTENAME,Place
내안의 그놈,용인경찰체력단련장(구 용인경찰대학교)
내안의 그놈,경기도 의왕시 왕곡동 공터 1
마약왕,인천광역시 남구 용현3동 공터 1
성난 황소,서울특별시 중구 명동1가 공터 1
상류사회,서울특별시 강남구 논현동 공터 2
악질경찰,광주광역시 동구 불로동 공터 1
살인자의 기억법,대한민국상이군경회 충청사업소(구 충남구청 경찰청)
웨딩드레스,김포택견전수관
죽거나 혹은 나쁘거나,인덕원마을삼성아파트
증인,함창타워
말모이,대성고등학교
변신,청남가구단지(구 쥬니어가구백화점)
불신지옥,동진아파트
고양이를 부탁해,월미도
극비수사,광주극장
극비수사,문화아파트
추격자,서울특별시 서대문구 북아현동
추격자,서울특별시 서대문구 충현동
용의자,태양의후예 태백세트장(구 태백 한보광업소)
강철중,제일이저축은행(구 제일저축은행 장충동지점)
바보,용산역사박물관(구 중앙대학교 용산병원)
포화 속으로,대한노인회 합천군지회(구 경상남도가축위생시험소 북부지소)
범죄와의 전쟁 : 나쁜놈들 전성시대,전라감영(구 전라북도청)
찜,그랜드워커힐서울(구 쉐라톤 워커힐 호텔)
오피스,서울교통공사 사당별관
유열의 음악앨범,그린빌오피스텔(구 (주)보진재)
극비수사,브라이튼여의도지웰아파트(구 여의도 문화방송 사옥)
늑대의 유혹,서울특별시교육청(구 수도여자고등학교)
해결사,중촌SKVIEW아파트(구 중촌주공1단지)
마녀,서대산약용자연휴양림
4발가락,고센
늑대의 유혹,올림픽선수기자촌아파트
좋아해줘,LG 유플러스 로밍센터 인천공항제1여객터미널점
좋아해줘,KT로밍센터 인천공항제1여객터미널점
보통소년,강원고등학교
아빠가 여자를 좋아해,동탄새강마을휴먼시아아파트
세리와 하르,경기도 남양주시 화도읍 마석우리 공터 1
세계일주,A플러스아카데미 영어전문교습소
신촌좀비만화,이디야커피 종합운동장역점(구 ATC 신천점)
서로 좋아해,동대문종합시장
카페 느와르,양화선착장
런닝맨,할리스 청계천점(구 CJ푸드빌 더 스테이크하우스 광교점)
런닝맨,할리스 청계천점(구 CJ푸드빌 더 플레이스 광교점)
남과 여,커넥트투
