ROUTE_ID,USER_ID,Rating,Pref
GG-P-1113,Kisha H,5,1
GG-P-0180,Kelly P,3,0
IC-P-0307,Traveler96789,5,1
SU-P-1820,Leah B,5,1
SU-P-1601,Eric B,5,1
GJ-P-0015,Ryan Y,5,1
DJ-P-0105,Fonster,5,1
GG-P-0370,Yonghua W,5,1
GG-P-1208,Sky W,5,1
GG-P-1552,Jimmy Y.,5,1
JB-P-0105,WanderfullNancy,3,0
CB-P-0141,seasonedtech,3,0
GG-P-0513,Bumblebee159,5,1
IC-P-0277,BLANCA G,5,1
GJ-P-0019,Lee Wee T,5,1
BS-P-0289,Paola921,5,1
SU-P-1703,Jennifer B,5,1
SU-P-1708,Annaliisa A,5,1
GW-P-0469,Kevin S,5,1
SU-P-2793,Odyssey558125,4,1
SU-P-2514,rynzeski,3,0
GN-P-0107,Andrew H,5,1
JB-P-0319,Sane J,5,1
SU-P-0481,Mohammad Usman,5,1
SU-P-1436,Cleo D,5,1
SU-P-0485,Joseph L,5,1
SU-P-1256,Jessie,5,1
SU-P-1635,Daniel K,5,1
DJ-P-0174,IHoHK,5,1
CN-P-0110,Douglas A,5,1
SU-P-0353,Hanzen,5,1
SU-P-2480,Petra,5,1
IC-P-0011,Colette M,4,1
IC-P-0009,Sara S,5,1
GW-P-0038,Amy J,5,1
GG-P-0516,fourtyromantic,4,1
GG-P-0130,Curt W,5,1
SU-P-0016,Danielle S,5,1
SU-P-2645,Marty,5,1
SU-P-0770,Liat BH,4,1
SU-P-2293,Carole935,3,0
SU-P-3365,Charity M,5,1
SU-P-3365,Michael G,5,1
SU-P-2998,Gabriel Piltz,5,1
SU-P-1731,Kria,5,1
SU-P-0047,Wenny C,5,1
GG-P-0027,Szeha,5,1
SU-P-2219,Leanne T,5,1
JB-P-0385,joanazl,5,1
GG-P-0040,Gerry Keely,5,1
GB-P-0110,Celeste W,5,1
CN-P-0094,Yit Seng C,4,1
JB-P-0217,Charles N,5,1
CN-P-0130,Yapzi1226,5,1
GB-P-0001,fatfatprincess,5,1
GG-P-0006,Ling J,5,1
SU-P-1256,Eula Saad,5,1
GG-P-0046,Mercy g,3,0
IC-P-0013,Hanidah,5,1
SU-P-1262,Ken N,5,1
GG-P-0407,Diana R,5,1
SU-P-2448,NM Nor,5,1
SU-P-0503,Joseph B,5,1
SU-P-1404,Dani,5,1
SU-P-0175,Romina J,5,1
CB-P-0197,ntr,5,1
SU-P-0919,MOMOPCWU,5,1
SU-P-1700,Travellingmom,5,1
US-P-0015,ChristelleNg,5,1
GW-P-0013,Lean Mary A,5,1
DG-P-0005,Andee A,4,1
GG-P-0594,Raja D,5,1
GG-P-1049,Serene,4,1
